(0.0225823,-0.041986)
(0.0406444,-0.0362623)
(0.0434052,-0.0323013)
(0.0415967,-0.0319504)
(0.0376629,-0.0423326)
(0.0388249,-0.0366379)
(0.0373446,-0.0350488)
(0.0389001,-0.0372067)
(0.0268269,-0.034607)
(0.0285965,-0.0388266)
(0.0418081,-0.0323401)
(0.040084,-0.0320897)
(0.0381331,-0.0305247)
(0.0308049,-0.0379281)
(0.0311287,-0.0340832)
(0.0335293,-0.0303112)
(0.0319573,-0.025927)
(0.0347429,-0.0333994)
(0.0355612,-0.0311236)
(0.0397393,-0.0342191)
(0.0322653,-0.03545)
(0.0335747,-0.0384805)
(0.0356738,-0.0402428)
(0.0347285,-0.0319333)
(0.0345467,-0.0342736)
(0.0412373,-0.0323797)
(0.0398115,-0.0270984)
(0.0391556,-0.0378614)
(0.0354165,-0.0280569)
(0.0391245,-0.0376742)
(0.0388105,-0.0399474)
(0.0372975,-0.0314649)
(0.0288873,-0.0333488)
(0.0373123,-0.0318394)
(0.0361069,-0.029622)
(0.0312976,-0.0322572)
(0.0357701,-0.0283581)
(0.0322958,-0.0264929)
(0.0292724,-0.0294091)
(0.0305553,-0.0344017)
(0.0405063,-0.0273202)
(0.0400977,-0.0282837)
(0.0334396,-0.0273751)
(0.0400184,-0.0261992)
(0.0341578,-0.0350644)
(0.0375577,-0.0228209)
(0.0340086,-0.0235277)
(0.0289089,-0.0295865)
(0.0354541,-0.0304302)
(0.0298182,-0.0350068)
(0.0326871,-0.0301998)
(0.0364217,-0.0261297)
(0.0315023,-0.0307006)
(0.0343038,-0.0297092)
(0.0437536,-0.0345372)
(0.0349195,-0.0218684)
(0.0347642,-0.0304511)
(0.0350008,-0.0277471)
(0.0380866,-0.0268117)
(0.0458895,-0.029377)
(0.0386995,-0.0284206)
(0.0405189,-0.0238843)
(0.0321384,-0.0198593)
(0.0311984,-0.0207807)
(0.0364955,-0.0206505)
(0.0331926,-0.0194689)
(0.0359418,-0.0245175)
(0.0426315,-0.0212211)
(0.0307009,-0.0279423)
(0.036891,-0.0222117)
(0.0337782,-0.0173733)
(0.0417808,-0.0251845)
(0.0464706,-0.0227183)
(0.0183835,-0.0289866)
(0.0359145,-0.0235945)
(0.027849,-0.0285927)
(0.0309615,-0.0193364)
(0.0343443,-0.0244844)
(0.0395227,-0.0267356)
(0.0348235,-0.0211305)
(0.0367646,-0.0211373)
(0.0364787,-0.0236336)
(0.0392054,-0.0283307)
(0.0372465,-0.022084)
(0.0430027,-0.0201886)
(0.0348956,-0.0175113)
(0.0338946,-0.0272264)
(0.0338631,-0.0285528)
(0.0379672,-0.0251489)
(0.0400059,-0.0209031)
(0.0346156,-0.0324681)
(0.0355895,-0.0176025)
(0.0336081,-0.015155)
(0.0406895,-0.0173019)
(0.0374498,-0.0243113)
(0.0426113,-0.0223162)
(0.0351821,-0.0181775)
(0.0370339,-0.022263)
(0.0425003,-0.0248101)
(0.0354175,-0.0197815)
(0.030456,-0.0152873)
(0.0306373,-0.0220544)
(0.0399292,-0.025458)
(0.0256996,-0.0277589)
(0.0344463,-0.0215566)
(0.0325944,-0.0167623)
(0.0359713,-0.0170291)
(0.032152,-0.0270354)
(0.0331329,-0.0189573)
(0.0352924,-0.0198211)
(0.0386093,-0.0234936)
(0.0404531,-0.0115266)
(0.0392158,-0.014109)
(0.0361375,-0.0153003)
(0.0385484,-0.0150175)
(0.0443191,-0.0254622)
(0.033759,-0.0104129)
(0.0387423,-0.0162692)
(0.0441164,-0.014517)
(0.0390255,-0.0177809)
(0.0306688,-0.0201805)
(0.0341552,-0.0193791)
(0.0296121,-0.0164851)
(0.0403142,-0.0151253)
(0.0421243,-0.0195936)
(0.039733,-0.0178356)
(0.0280772,-0.0211857)
(0.0372612,-0.0135638)
(0.0421247,-0.0213768)
(0.0383695,-0.0166807)
(0.040442,-0.0165935)
(0.0431504,-0.0195269)
(0.0354368,-0.0210384)
(0.0326399,-0.0170304)
(0.0349063,-0.00845821)
(0.0422273,-0.00976666)
(0.036533,-0.0105341)
(0.032745,-0.0146557)
(0.0356459,-0.0153913)
(0.0324112,-0.0130829)
(0.0356541,-0.0024415)
(0.0381564,-0.0221312)
(0.0352886,-0.0123054)
(0.0299628,-0.0102017)
(0.0288659,-0.00584418)
(0.0393491,-0.00456416)
(0.0373566,-0.0170657)
(0.043055,-0.0159709)
(0.0407483,-0.0169884)
(0.0304695,-0.00908799)
(0.0417463,-0.0131762)
(0.0316953,-0.0182693)
(0.0345157,-0.0062165)
(0.0301267,-0.0146569)
(0.0504981,-0.0125051)
(0.0446318,-0.0128379)
(0.0327981,-0.00784892)
(0.0430486,-0.0131815)
(0.0337238,-0.00898906)
(0.0335741,-0.0101302)
(0.0298956,-0.0149373)
(0.0271626,-0.018928)
(0.034681,-0.00560856)
(0.0302621,-0.00621248)
(0.0412601,-0.0137827)
(0.033341,-0.00121738)
(0.039442,-0.0105779)
(0.0356534,-0.0117623)
(0.0271469,-0.00990557)
(0.0376292,-0.015956)
(0.0375875,-0.00467031)
(0.0397703,-0.0113067)
(0.0381913,-0.0140363)
(0.0293899,-0.0141574)
(0.044549,-0.0130268)
(0.0350165,-0.0142357)
(0.0418767,-0.00775163)
(0.0335837,-0.0097143)
(0.0376377,-0.00681514)
(0.0397777,-0.00974074)
(0.0438364,-0.00618448)
(0.0306248,-0.00875563)
(0.0321128,-0.00224455)
(0.0408736,-0.0140789)
(0.0340178,-0.00463966)
(0.0413976,-0.00814665)
(0.0288805,-0.00399997)
(0.0501365,-0.00531034)
(0.0301343,-0.00396661)
(0.0288578,-0.0103322)
(0.0496053,-0.0074473)
(0.0449115,-0.00236482)
(0.0293822,-0.00652386)
(0.0396371,-0.00972763)
(0.0392022,0.00488746)
(0.0362813,-0.00943457)
(0.0353983,-0.0113175)
(0.0342759,-0.00295928)
(0.0374804,-0.00244689)
(0.0397392,-0.00703208)
(0.0373965,-0.00106925)
